FEATURE,MICRO-FEATURE,TRIGGER,event,feature.name,feature.type,step.name,step.index,step.type,step.success,interaction.name,interaction.value,message.type,message.name,message.code,
Aquisição de Plano com Aparelho,Concluir compra (com aparelho),No carregamento da página de sumário,'feature-step','plan-and-phone-acquisition','purchase-funnel','summary',8,'intermediary',false,,,,,,
Aquisição de Plano com Aparelho,Concluir compra (com aparelho),"Ao selecionar ""Concluir Compra""",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','summary',8,'intermediary',false,'proceed','next',,,,
Aquisição de Plano com Aparelho,Concluir compra (com aparelho),"Ao selecionar ""Quero cancelar minha compra""",'feature-interaction','plan-and-phone-acquisition','purchase-funnel','summary',8,'intermediary',false,'navigate','cancel',,,,
Aquisição de Plano com Aparelho,Concluir compra (com aparelho),Ao ser exibido qualquer aviso,'interface-message','plan-and-phone-acquisition','purchase-funnel','summary',8,'intermediary',false,,,'warning' | 'error','warning' | 'error',,
Aquisição de Plano com Aparelho,Confirmação do Pedido (com aparelho),No carregamento da página de confirmação do pedido,'feature-step','plan-and-phone-acquisition','purchase-funnel','order-confirmation',9,'completion',true,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
